Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,Price to Earnings Ratio,Market Cap,Dividend Yield %,52 Week Change %,Debt to Equity,Revenue Growth,Profit Margin
1 Year,2024-05-24,CVX,Energy,154.751749576279,154.42869567871094,155.62301071668,153.9881730684007,4476600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-28,CVX,Energy,154.79091517706595,155.69154357910156,156.06354778728982,154.6244961727524,6928300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-29,CVX,Energy,154.69301757464842,153.59658813476562,155.15312328992846,153.1462814373813,5909600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-30,CVX,Energy,153.5476609749934,154.92796325683594,155.12376437485327,153.5084947763787,6371200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-31,CVX,Energy,155.29017481067578,158.88290405273438,159.15700767780777,155.17269115883914,10334200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-03,CVX,Energy,158.0899561251331,154.14480590820312,158.27594327196965,153.16586014841846,9009900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-04,CVX,Energy,152.44143261460013,152.84280395507812,153.05817321399184,150.86532936756433,6360500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-05,CVX,Energy,152.87217426841966,151.71701049804688,153.71406822393647,151.27648789124171,7058500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-06,CVX,Energy,151.24713304435608,152.6470184326172,152.73513491118385,150.16050255896346,5215100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-07,CVX,Energy,152.43164861391634,152.79385375976562,154.36995700762094,151.8638582889874,5887700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-10,CVX,Energy,153.11691801342073,153.43997192382812,154.86922444408523,153.02881647536262,7075900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-11,CVX,Energy,152.88196637475227,153.1952362060547,153.4497567408421,151.22754555481467,5132000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-12,CVX,Energy,154.17417940923178,150.9730224609375,154.31123122372156,149.1913339350431,10017400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-13,CVX,Energy,150.5325130124193,149.62208557128906,150.8457679282988,149.02492798356715,6163000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-14,CVX,Energy,149.90596478852146,149.35775756835938,150.06258475319174,148.7703841538849,6159100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-17,CVX,Energy,149.289231442727,149.96470642089844,150.68911673804575,148.73122517814113,6321400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-18,CVX,Energy,150.31713013462547,150.1017608642578,152.66659407269225,149.62207204616124,6942900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-20,CVX,Energy,150.47376747145591,153.34207153320312,154.09586399163427,150.02344582501547,8336000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-21,CVX,Energy,153.49871355692935,152.01071166992188,154.3503916735746,151.95197730843302,21292100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-06-24,CVX,Energy,152.97986760049193,155.9558563232422,156.1810096795207,152.90155014232377,7971600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
