Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,52 Week Change %
1 Year,2024-08-27,CVX,Energy,147.16874304583573,145.4661102294922,148.03986172527866,145.25823924762068,5100000.0,0.04715538
1 Year,2024-08-28,CVX,Energy,144.96127041376334,144.5257110595703,145.65419888420328,144.01095772236872,5614400.0,0.04715538
1 Year,2024-08-29,CVX,Energy,144.98106840814776,145.93136596679688,146.68368612611968,143.97136403546415,4466700.0,0.04715538
1 Year,2024-08-30,CVX,Energy,144.74349763181752,146.45602416992188,146.58471628652973,144.2287442700946,6414800.0,0.04715538
1 Year,2024-09-03,CVX,Energy,144.08026158072548,143.19924926757812,144.29804126305027,142.8230816154338,7944700.0,0.04715538
1 Year,2024-09-04,CVX,Energy,143.17944717954435,140.63540649414062,144.0604594938262,140.23943656908193,9820700.0,0.04715538
1 Year,2024-09-05,CVX,Energy,141.7242831345355,139.50689697265625,141.7242831345355,139.1802425688252,9371100.0,0.04715538
1 Year,2024-09-06,CVX,Energy,139.64550702076153,137.1608428955078,140.67499863627143,136.47780797828202,7836400.0,0.04715538
1 Year,2024-09-09,CVX,Energy,137.24002912162877,138.88327026367188,140.5859031160791,137.14103286788347,9892300.0,0.04715538
1 Year,2024-09-10,CVX,Energy,139.47720436041,136.83416748046875,139.65539459862254,135.7056796541488,8202500.0,0.04715538
1 Year,2024-09-11,CVX,Energy,136.81438620500552,136.4877166748047,137.08164891677202,134.00305254940963,9534000.0,0.04715538
1 Year,2024-09-12,CVX,Energy,136.83417574809536,137.80429077148438,138.06165990366645,136.03235738946205,6593400.0,0.04715538
1 Year,2024-09-13,CVX,Energy,138.4576067531026,139.1901397705078,140.10084792190713,138.2992338911216,5900700.0,0.04715538
1 Year,2024-09-16,CVX,Energy,140.25924231340295,140.6551971435547,141.7242933106146,139.6455077952552,6864300.0,0.04715538
1 Year,2024-09-17,CVX,Energy,140.36812525042498,141.9618682861328,142.684492612721,140.3087335392955,7338800.0,0.04715538
1 Year,2024-09-18,CVX,Energy,141.87278038029237,142.50631713867188,144.1297560260636,141.7440882700143,6180300.0,0.04715538
1 Year,2024-09-19,CVX,Energy,144.3376212829374,143.52590942382812,145.2978275183265,143.46650261049186,7247400.0,0.04715538
1 Year,2024-09-20,CVX,Energy,143.7634856501071,144.2089385986328,144.43662696952822,141.99156743985307,23162900.0,0.04715538
1 Year,2024-09-23,CVX,Energy,144.77318852031004,146.05015563964844,146.9212743596362,144.47621485624987,6960600.0,0.04715538
1 Year,2024-09-24,CVX,Energy,147.37664281461528,145.96107482910156,147.5944225046943,145.42653429281313,6014200.0,0.04715538
1 Year,2024-09-25,CVX,Energy,145.4661088272427,142.51620483398438,145.92147043384574,142.05094964419476,7888400.0,0.04715538
1 Year,2024-09-26,CVX,Energy,139.477208543064,140.55621337890625,141.7737888084913,139.20994583479225,8046200.0,0.04715538
1 Year,2024-09-27,CVX,Energy,141.53620987742053,144.0208740234375,144.2980454262644,141.3976241760071,8049200.0,0.04715538
1 Year,2024-09-30,CVX,Energy,143.90207474863433,145.78289794921875,145.99076894791327,142.8230849999972,7491700.0,0.04715538
1 Year,2024-10-01,CVX,Energy,144.87219122589457,148.1883544921875,149.00008153644075,143.98127019405257,9489100.0,0.04715538
1 Year,2024-10-02,CVX,Energy,150.14834452452615,149.42572021484375,150.74229183134102,147.75278323519902,8105400.0,0.04715538
1 Year,2024-10-03,CVX,Energy,149.78209373934334,149.7227020263672,150.63341020298736,148.5051265962314,6553300.0,0.04715538
1 Year,2024-10-04,CVX,Energy,150.94026973851456,149.2178497314453,150.96007201006347,148.62390242263749,7892400.0,0.04715538
1 Year,2024-10-07,CVX,Energy,149.97017705325229,149.59400939941406,151.20755475171146,149.16835872140405,5895900.0,0.04715538
1 Year,2024-10-08,CVX,Energy,147.69339299566826,147.24794006347656,148.08936290572234,146.23823567372315,5892700.0,0.04715538
1 Year,2024-10-09,CVX,Energy,146.02046492252657,148.13885498046875,148.85158575741272,145.87198563762513,4973500.0,0.04715538
1 Year,2024-10-10,CVX,Energy,149.158451772059,149.09906005859375,150.01967693143047,148.33684626284506,4420900.0,0.04715538
1 Year,2024-10-11,CVX,Energy,148.8614844019755,149.89097595214844,150.79179049899196,148.7327922939386,5051300.0,0.04715538
1 Year,2024-10-14,CVX,Energy,149.0000737172289,150.24734497070312,150.36612839349843,148.66349551146243,4214700.0,0.04715538
1 Year,2024-10-15,CVX,Energy,147.29743798878218,146.2382354736328,148.44572806930645,146.06995392635542,6704600.0,0.04715538
1 Year,2024-10-16,CVX,Energy,146.8519816308975,147.22813415527344,147.52510780430188,146.71339594197855,4303700.0,0.04715538
1 Year,2024-10-17,CVX,Energy,147.7527899210496,149.67320251464844,149.80189462804677,147.46572494274739,6593100.0,0.04715538
1 Year,2024-10-18,CVX,Energy,149.29705308796605,149.22775268554688,149.55442221543348,147.8715915410821,5208200.0,0.04715538
1 Year,2024-10-21,CVX,Energy,150.46513091733152,149.3564453125,150.94027973301522,148.97038406762414,5074000.0,0.04715538
1 Year,2024-10-22,CVX,Energy,149.72269612452837,149.39602661132812,150.14834678721775,148.7030981460735,4416400.0,0.04715538
